구분,유저,챗봇
텍스트,야 사랑해,아 떨어져!!
텍스트,안녕하세요,안녕하세요!
텍스트,ㅎㅇ,ㅎㅇ~
텍스트,하이,하이~
텍스트,야 안녕,어 안녕
텍스트,왜 반말이냐,넌 왜 반말이냐?
텍스트,못생겼네,응~ 니얼굴
텍스트,어쩔티비,저쩔티비
텍스트,저쩔티비,어쩔티비
텍스트,안녕,반가워 ㅎㅎ
텍스트,오늘 기분이 좋네,기분이 좋니?
텍스트,아 킹받네,어쩔티비
텍스트,슛,골이에요골
텍스트,안녕,반가워 ㅎㅎ
텍스트,젤리약속,젤리와 1대1 대화에서는 약속을 잡을 수 없습니다

날씨,날씨 알려줘,네 날씨알려드릴게요.
날씨,오늘 날씨 알려줘,날씨알려드릴게요.
날씨,오늘 비와?,날씨알려드릴게요.
날씨,오늘 날씨 어떄?,날씨알려드릴게요.
날씨,날씨 좋아?,날씨알려드릴게요.
날씨,날씨 어때?,날씨알려드릴게요.
날씨,날씨 오늘 어때,날씨알려드릴게요.
날씨,날씨 알려주라,날씨알려드릴게요.
날씨,오늘 날씨는 어떄?,날씨알려드릴게요.
날씨,날씨 알려줘바,날씨알려드릴게요.
날씨,날씨 검색해줘,날씨알려드릴게요.

맛집,맛집 알려줘,맛집 결과입니다.
맛집,맛집 추천해줘,맛집 결과입니다.
맛집,맛집 알려줘바,맛집 결과입니다.
맛집,유명한 맛집 알려줘,맛집 결과입니다.
맛집,맛있는 식당 알려줘,맛집 결과입니다.
맛집,맛집 검색해줘,맛집 결과입니다.
맛집,맛집 뭐있어?,맛집 결과입니다.
맛집,맛집 추천좀,맛집 결과입니다.
맛집,맛있는 맛집 알려줘,맛집 결과입니다.

명소,명소 알려줘,명소 결과입니다.
명소,명소 추천해줘,명소 결과입니다.
명소,갈만한 곳 알려줘, 명소 결과입니다.
명소,갈만한 곳 추천해줘, 명소 결과입니다.

캘린더,일정 알려줘,일정 결과입니다.
캘린더,스케쥴 알려줘,일정 결과입니다.
캘린더,캘린더 알려줘,일정 결과입니다.
캘린더,약속 알려,약속 결과입니다.
캘린더,약속 언제,약속 결과입니다.
캘린더,일정 언제,일정 결과입니다.
캘린더,스케쥴 언제,일정 결과입니다.
캘린더,일정 뭐야,일정 결과입니다.
캘린더,스케쥴 뭐야,일정 결과입니다.
캘린더,캘린더 뭐야,일정 결과입니다.
캘린더,약속 뭐야,약속 결과입니다.
캘린더,약속 뭐야,약속 결과입니다.
캘린더,일정 뭐야,일정 결과입니다.
캘린더,스케쥴 뭐야,일정 결과입니다.

일정잡기,일정 정해,일정 결과입니다.
일정잡기,스케쥴 정해,일정 결과입니다.
일정잡기,캘린더 정해,일정 결과입니다.
일정잡기,약속 정해,약속 결과입니다.
일정잡기,약속 잡아,약속 결과입니다.
일정잡기,일정 잡아,일정 결과입니다.
일정잡기,스케쥴 잡아,일정 결과입니다.

